restaurant,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
1,380,60,7,2,0,95,1110,44,3,11,37,4,20,20
1,840,410,45,17,1.5,130,1580,62,2,18,46,6,20,20
1,1130,600,67,27,3,220,1920,63,3,18,70,10,20,50
1,750,280,31,10,0.5,155,1940,62,2,18,55,6,25,20
1,920,410,45,12,0.5,120,1980,81,4,18,46,6,20,20
1,540,250,28,10,1,80,950,46,3,9,25,10,2,15
1,300,100,12,5,0.5,40,680,33,2,7,15,10,2,10
1,510,210,24,4,0,65,1040,49,3,6,25,0,4,2
1,430,190,21,11,1,85,1040,35,2,7,25,20,4,15
1,770,400,45,21,2.5,175,1290,42,3,10,51,20,6,20
1,380,170,18,4,0,40,640,38,2,5,15,2,0,15
1,620,300,34,13,1.5,95,790,48,3,11,32,10,10,35
1,530,180,20,7,0,125,1150,48,3,11,42,10,20,35
1,700,300,34,9,0,85,1190,67,5,11,33,10,15,35
1,250,70,8,3,0,30,480,31,2,6,13,2,2,4
1,290,50,5,1.5,0,65,630,35,2,3,24,4,6,15
1,640,330,36,14,1.5,110,1260,40,3,10,37,6,15,15
1,580,190,21,8,0,135,1890,50,3,14,48,4,30,30
1,740,310,35,9,0.5,95,1780,69,5,14,39,4,20,290
1,350,130,15,3.5,0,40,600,40,2,5,15,2,2,4
1,380,160,18,8,1,70,840,34,2,7,23,10,2,10
1,480,200,22,7,0,80,870,45,2,12,25,2,2,6
1,580,300,33,12,1.5,95,920,41,4,7,29,8,15,15
1,520,160,18,6,0,115,1540,50,4,12,40,8,25,30
1,680,280,32,7,0,80,1430,69,6,12,31,8,15,30
1,570,200,23,5,0,60,1050,64,4,11,28,4,10,20
1,530,200,22,4,0,45,1000,59,3,13,25,6,10,20
1,530,240,27,13,1.5,100,1090,41,3,10,31,20,6,15
1,670,320,35,12,1.5,95,1010,56,4,13,32,20,15,30
1,560,180,20,5,0,115,1550,56,4,14,41,20,25,30
1,730,300,33,7,0,80,1430,75,5,13,32,20,20,30
1,690,340,37,14,1.5,110,1310,51,3,14,38,6,15,15
1,630,200,22,7,0,135,1930,61,4,18,48,4,30,25
1,800,320,36,9,0.5,95,1820,80,5,18,39,4,20,30
1,370,190,21,3.5,0,70,910,16,0,0,28,0,0,2
1,480,250,28,4.5,0,95,1290,21,0,1,38,0,0,2
1,760,390,44,8,0.5,145,1890,32,1,1,58,0,0,2
1,1210,630,70,12,1,240,3230,52,1,4,94,0,0,4
1,1510,790,88,15,1,295,3770,64,1,2,115,0,2,6
1,2430,1270,141,24,2,475,6080,103,2,3,186,0,2,8
1,180,100,11,2,0,30,340,11,1,0,10,0,2,0
1,270,140,16,2.5,0,45,510,16,1,0,15,0,2,0
1,440,240,27,4.5,0,75,840,26,2,0,24,0,4,2
1,890,480,53,9,0,145,1680,53,4,0,49,0,8,4
1,1770,960,107,18,0.5,295,3370,105,7,1,98,0,15,6
1,640,240,27,4,0,105,1780,63,2,35,39,4,15,4
1,960,360,40,6,0,160,2670,94,3,52,58,4,25,8
1,1600,600,66,10,0,265,4450,156,5,87,97,8,40,10
1,140,70,7,0.5,0,0,20,13,5,7,7,180,45,10
1,270,80,9,1,0,80,740,18,5,10,31,180,70,10
1,490,250,28,8,0,95,1120,28,4,4,33,180,60,15
1,190,110,12,5,0,40,660,9,3,3,14,180,50,15
1,320,120,14,6,0,45,1230,9,3,4,42,180,60,15
1,490,250,28,8,0,95,1120,28,4,4,33,180,60,15
1,220,90,10,3.5,0,15,500,26,6,9,8,180,40,20
1,350,100,12,4.5,0,110,1070,27,6,9,37,180,50,20
1,520,230,25,6,0,75,960,46,8,9,28,180,40,20
2,320,80,9,4,0,20,680,43,5,6,15,8,8,30
2,640,160,18,8,0,40,1360,86,10,12,30,16,16,60
2,430,160,18,6,0,50,590,47,5,8,19,8,20,30
2,860,320,36,12,0,100,1180,94,10,16,38,16,40,60
2,580,310,31,11,0,85,1470,47,5,7,29,10,45,40
2,1160,620,62,22,0,170,2940,94,10,14,58,20,90,80
2,500,150,17,9,1,85,1310,51,6,8,38,15,20,50
2,1000,300,34,18,2,170,2620,102,12,16,76,30,40,100
2,180,20,3,0.5,0,10,450,30,3,5,10,6,15,20
2,290,40,5,1,0,20,830,46,5,8,18,8,20,30
2,580,80,10,2,0,40,1660,92,10,16,36,16,40,60
2,330,45,5,1,0,45,890,45,5,7,25,8,20,30
2,660,90,10,2,0,90,1780,90,10,14,50,16,40,60
2,570,230,26,7,0,70,1600,46,5,8,33,10,20,40
2,1140,460,52,14,0,140,3200,92,10,16,66,20,40,80
2,570,250,28,10,1,95,1080,47,5,8,35,15,25,50
2,1140,500,56,20,2,190,2160,94,10,16,70,30,50,100
2,460,140,16,6,0,80,1140,49,6,9,32,15,30,45
2,920,280,32,12,0,160,2280,98,12,18,64,30,60,90
2,370,120,13,4,0,50,1140,46,5,7,18,10,20,35
2,740,240,26,8,0,100,2280,92,10,14,36,20,40,70
2,470,130,15,4.5,0,85,1770,45,7,12,39,10,35,20
2,940,260,30,9,0,170,3540,90,14,24,78,20,70,40
2,410,150,16,6,0,45,1300,46,5,8,20,8,20,30
2,820,300,32,12,0,90,2600,92,10,16,40,16,40,60
2,550,260,29,10,0,75,1470,47,5,9,26,10,20,40
2,1100,520,58,20,0,150,2940,94,10,18,52,20,40,80
2,480,160,18,7,1,30,950,59,8,12,21,25,35,35
2,960,320,36,14,2,60,1900,118,16,24,42,50,70,70
2,320,40,5,2,0,25,640,47,5,8,23,8,30,30
2,640,80,10,4,0,50,1280,44,10,16,46,16,60,60
2,200,25,3,1,0,25,390,30,4,5,14,6,15,20
2,320,40,5,2,0,40,700,45,5,7,24,8,20,30
2,640,80,10,4,0,80,1400,90,10,14,48,16,40,60
2,350,50,6,1.5,0,50,540,44,5,7,29,8,20,30
2,700,100,12,3,0,100,1080,88,10,14,58,16,40,60
2,480,220,24,9,1,50,1520,46,5,8,20,8,20,30
2,960,440,48,18,2,100,3040,92,10,16,40,16,40,60
2,380,90,10,5,0,50,1060,48,5,8,26,10,20,40
2,760,180,20,10,0,100,2120,96,10,16,52,20,40,80
2,310,40,5,2,0,40,880,46,5,7,23,8,20,30
2,620,80,10,4,0,80,1760,92,10,14,46,16,40,60
2,370,100,11,5,0,45,1210,47,5,8,23,10,20,40
2,740,200,22,10,0,90,1420,94,10,16,46,20,40,80
2,420,170,19,3,0,20,690,51,5,8,13,10,20,35
2,840,340,38,6,0,40,1380,102,10,16,26,20,40,70
2,380,40,5,1,0,50,900,59,5,18,26,8,30,35
2,760,80,10,2,0,100,1800,118,10,36,52,16,60,70
2,470,210,24,4,0,30,620,44,5,6,20,8,20,30
2,940,420,48,8,0,60,1240,88,10,12,40,16,40,60
2,390,110,13,3.5,0,30,860,49,8,7,22,10,200,30
2,780,220,26,7,0,60,1720,98,16,14,44,20,400,60
2,180,20,2,0.5,0,10,380,30,3,5,10,6,15,20
2,280,30,4,1,0,20,810,46,5,7,18,8,20,30
2,560,60,8,2,0,40,1620,92,10,14,36,16,40,60
2,280,35,4,1,0,20,820,46,5,8,18,8,20,30
2,560,70,8,2,0,40,1640,92,10,16,36,16,40,60
2,490,210,24,9,1,50,1480,47,5,8,24,10,20,45
2,980,420,48,18,2,100,2960,94,10,16,48,20,40,90
2,150,15,2,0,0,0,190,29,3,4,6,6,15,20
2,230,20,3,1,0,0,310,44,5,6,8,8,20,30
2,460,40,6,2,0,0,620,88,10,12,16,16,40,60
